seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	curve_spectre_edges	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
57	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.866028	3.000002	6.866028	3.000002	6.866028	4.000002	7.732053	4.500002	7.232053	5.366027	7.732053	6.232052	8.232053	7.098077	9.232053	7.098077	9.232053	6.098077	10.098078	5.598077	9.598078	4.732052	10.098078	3.866027	9.232053	3.366027	8.366028	3.866027
58	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.232053	5.366027	7.732053	4.500002	6.866028	4.000002	6.000002	4.500002	5.500002	3.633976	4.500002	3.633976	3.500002	3.633976	3.000002	4.500001	3.866027	5.000001	3.866027	6.000001	4.866027	6.000001	5.366027	6.866027	6.232053	6.366027	6.232053	5.366027
59	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	4.133978	1.267952	3.633978	0.401927	2.767953	0.901927	2.767953	1.901927	1.767953	1.901927	1.267953	2.767952	0.767953	3.633977	1.267953	4.500002	2.133978	4.000002	3.000003	4.500002	3.500003	3.633977	4.500003	3.633977	4.500003	2.633977	3.633978	2.133977
60	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	1.767953	1.901927	2.767953	1.901927	2.767953	0.901927	1.901928	0.401927	2.401928	-0.464098	1.901928	-1.330123	1.401928	-2.196148	0.401928	-2.196148	0.401928	-1.196148	-0.464097	-0.696148	0.035903	0.169877	-0.464097	1.035902	0.401928	1.535902	1.267953	1.035902
61	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	-1.598072	4.267954	-1.098072	5.133979	-0.232047	4.633979	-0.232047	3.633979	0.767953	3.633979	1.267953	2.767953	1.767953	1.901927	1.267953	1.035902	0.401928	1.535902	-0.464098	1.035902	-0.964098	1.901928	-1.964098	1.901928	-1.964098	2.901928	-1.098072	3.401928
62	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	0.767953	3.633977	-0.232047	3.633977	-0.232047	4.633977	0.633979	5.133977	0.133979	6.000003	0.633979	6.866028	1.133979	7.732053	2.133979	7.732053	2.133979	6.732053	3.000004	6.232053	2.500004	5.366028	3.000004	4.500002	2.133978	4.000002	1.267953	4.500002
63	#8080ff	#000000	#00000000	#00000000			48.016656	43.748711	3.866030	5.000002	3.000004	4.500002	2.500004	5.366028	3.000004	6.232053	2.133979	6.732053	2.133979	7.732053	2.133979	8.732053	3.000005	9.232053	3.500005	8.366027	4.500005	8.366027	4.500005	7.366027	5.366030	6.866027	4.866030	6.000002	3.866030	6.000002
64	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	-1.598072	4.267952	-2.598072	4.267952	-2.598072	5.267952	-1.732046	5.767952	-2.232046	6.633978	-1.732046	7.500003	-1.232046	8.366028	-0.232046	8.366028	-0.232046	7.366028	0.633979	6.866028	0.133979	6.000003	0.633979	5.133977	-0.232047	4.633977	-1.098072	5.133977
65	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	-1.232046	8.366028	-1.732046	9.232054	-0.866020	9.732054	0.000005	9.232054	0.500005	10.098079	1.500005	10.098079	2.500005	10.098079	3.000005	9.232053	2.133979	8.732053	2.133979	7.732053	1.133979	7.732053	0.633979	6.866028	-0.232046	7.366028	-0.232046	8.366028
66	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	4.232055	11.830129	4.732055	10.964104	3.866030	10.464104	3.000005	10.964104	2.500005	10.098079	1.500005	10.098079	0.500005	10.098079	0.000005	10.964104	0.866030	11.464104	0.866030	12.464104	1.866030	12.464104	2.366030	13.330129	3.232055	12.830129	3.232055	11.830129
